IID	sex	age	y
400	1	40	0
401	0	43	0
402	1	47	0
403	1	39	0
404	0	26	0
405	1	44	0
406	0	48	0
407	1	26	0
408	0	31	0
409	0	42	0
410	0	31	0
411	0	37	0
412	1	20	0
413	0	42	0
414	1	48	0.25
415	0	40	0.25
416	0	36	0
417	1	43	0
418	0	43	0
419	1	33	0
420	1	34	0
421	0	30	0
422	0	22	0
423	0	45	0
424	0	49	1
425	0	27	0
426	0	46	0
427	1	45	0
428	1	29	0
429	1	28	0
430	0	38	0
431	1	44	0
432	0	22	0
433	0	43	0
434	1	50	1
435	0	45	0
436	1	35	0
437	1	41	0
438	0	32	0
439	1	29	0
440	0	24	0
441	1	43	0
442	0	21	0
443	0	39	0
444	0	40	0.5
445	1	42	0
446	1	36	0
447	1	42	0
448	0	26	0
449	0	22	0
450	1	35	0
451	0	33	0
452	0	23	0
453	0	31	0
454	1	42	0
455	1	34	0
456	0	38	0
457	1	47	0
458	0	40	0
459	1	31	0
460	0	26	0
461	1	45	0
462	1	30	0
463	1	30	0
464	1	21	0
465	0	27	0
466	1	20	0
467	0	39	0
468	0	49	0
469	1	46	0
470	0	26	0
471	0	38	0
472	0	34	0
473	1	35	0
474	0	43	1
475	0	45	0
476	1	47	0
477	0	30	0.25
478	0	47	0
479	0	44	0
480	1	32	0
481	1	24	0
482	0	32	0
483	0	26	0.25
484	1	35	0
485	1	35	0
486	0	35	0
487	0	21	0
488	1	29	0
489	0	44	0
490	1	45	0
491	0	47	0
492	0	26	0
493	1	46	0
494	1	43	0
495	0	28	1
496	0	43	0
497	1	29	0
498	0	28	0
499	0	33	0
500	0	25	0
501	1	35	0
502	0	32	0
503	1	20	0
504	1	40	0
505	1	40	0
506	0	45	0
507	1	44	0.25
508	0	46	0
509	1	40	0
510	0	29	0
511	0	29	0
512	0	39	0
513	1	42	0
514	0	41	0
515	1	35	0
516	0	35	0
517	1	46	0
518	1	21	0
519	1	29	0.25
520	0	46	0
521	1	20	0
522	0	41	0
523	0	24	0
524	1	25	0
525	1	23	0.25
526	1	39	0
527	1	27	0
528	0	46	0
529	0	37	0
530	0	36	0
531	1	23	0
532	0	26	0
533	0	30	0
534	0	31	0
535	1	31	0
536	1	29	0
537	0	29	0
538	1	36	0
539	1	45	0
540	1	35	0
541	0	40	0
542	1	38	0
543	1	38	0
544	0	20	0
545	0	43	0
546	1	26	0
547	1	49	0
548	1	27	0
549	0	44	0
550	0	40	0.25
551	0	46	0
552	1	37	1
553	0	45	0
554	1	50	0
555	0	49	0
556	1	36	0
557	0	43	0
558	1	24	0
559	1	30	0.25
560	0	28	0
561	1	39	0
562	1	46	0
563	1	40	0
564	1	41	0
565	1	38	0
566	0	46	0
567	1	44	0
568	0	35	0
569	1	42	0.25
570	1	39	0
571	0	28	0
572	0	40	0
573	1	46	0
574	1	50	0
575	1	22	0
576	1	34	0
577	1	23	0
578	1	30	0
579	0	37	0
580	1	40	0
581	1	35	0
582	0	39	0
583	0	47	0.25
584	0	41	0
585	0	31	0.25
586	1	46	0
587	0	36	0
588	1	37	0
589	0	36	0
590	0	37	0.25
591	0	23	0
592	1	31	0
593	1	39	0
594	1	34	0.25
595	1	24	0
596	1	35	0
597	1	32	0
598	1	33	0
599	0	35	0
600	0	40	0
601	0	47	0
602	0	43	0
603	1	43	0
604	1	42	0
605	0	46	0
606	1	20	0
607	0	46	0
608	0	46	0
609	1	21	0
610	1	49	0
611	0	47	0
612	1	36	0
613	0	49	0.25
614	0	30	0
615	1	49	0
616	0	36	0
617	0	43	0
618	0	38	0
619	1	29	0
620	1	43	0
621	1	20	0
622	1	37	0
623	0	30	0
624	0	43	0
625	0	47	0
626	1	22	0
627	1	25	0
628	1	23	0
629	1	38	0
630	0	28	0
631	1	21	0
632	0	29	0
633	1	43	0.25
634	0	27	0
635	1	26	0
636	0	30	0
637	1	31	0
638	0	44	1
639	0	50	0
640	0	39	0
641	1	24	0
642	1	31	0
643	0	21	0
644	1	33	0
645	0	47	0
646	0	33	0
647	0	39	0
648	1	24	0
649	1	45	0
650	0	43	0
651	1	39	0.25
652	0	36	0.25
653	1	36	0
654	1	30	0
655	1	41	0
656	0	36	1
657	0	25	0
658	0	41	0
659	1	28	0
660	1	29	0
661	1	44	0
662	1	34	0
663	0	26	0.25
664	0	30	0
665	0	32	0
666	1	32	0
667	1	45	0
668	1	39	0
669	0	32	0
670	0	22	0
671	1	29	0
672	0	29	0
673	1	21	0
674	1	42	0
675	1	47	0
676	0	39	0
677	1	41	0
678	0	26	0
679	0	24	0.25
680	1	25	0
681	0	50	0
682	1	31	0
683	0	20	0
684	1	46	0
685	1	45	0
686	0	35	0.25
687	1	46	0
688	1	28	0
689	1	44	0
690	0	44	1
691	1	40	0
692	0	34	0
693	0	36	0
694	0	50	0
695	0	38	0
696	1	44	0
697	1	21	0
698	0	38	0
699	0	46	0
700	0	21	0
701	0	43	0
702	0	23	0
703	0	28	0
704	1	27	0
705	0	26	0
706	1	30	0
707	1	43	0
708	1	25	0
709	0	38	0
710	0	31	0
711	0	28	0
712	1	36	0.25
713	1	46	0
714	1	37	0
715	0	35	0
716	0	35	0
717	1	45	0
718	1	32	0
719	0	30	0
720	0	29	0
721	0	28	0.25
722	0	22	0
723	1	21	0
724	1	34	0
725	1	38	0
726	1	25	0
727	0	47	0
728	0	45	0
729	0	26	0
730	1	21	0
731	1	28	0
732	0	44	0
733	1	26	0
734	1	37	0
735	1	40	0
736	0	38	0
737	1	48	1
738	0	42	0
739	0	28	0
740	1	35	0
741	0	37	0
742	0	33	0
743	1	33	0
744	1	39	0
745	1	42	0
746	0	43	0
747	0	45	0
748	1	22	0
749	1	43	0
750	1	43	0
751	1	31	0
752	1	40	0
753	1	36	0
754	0	47	0
755	1	41	0
756	0	26	0
757	1	32	1
758	1	37	0
759	1	48	0
760	0	45	0
761	1	39	0
762	1	48	0
763	0	48	0
764	0	29	0
765	1	47	0
766	0	31	0
767	0	50	0
768	0	30	0
769	0	35	0.25
770	1	23	0
771	1	41	0
772	1	38	0
773	0	22	0
774	0	45	0
775	1	41	0.25
776	1	34	0
777	0	23	0
778	1	38	0
779	1	41	0
780	0	36	0
781	0	42	0
782	1	24	0
783	0	47	0
784	0	23	0
785	1	41	0
786	0	46	0
787	0	28	1
788	0	40	0
789	1	42	0
790	0	47	0
791	1	31	0
792	0	45	0
793	0	33	0
794	1	32	0
795	0	35	0
796	0	28	0
797	1	38	0
798	1	37	0
799	1	50	0
800	0	25	0.25
801	1	45	0
802	1	30	0
803	1	33	0
804	0	20	0
805	1	38	0
806	0	31	0
807	0	45	0
808	1	26	0
809	1	31	0.25
810	0	48	0
811	1	38	0
812	1	33	0
813	1	21	0
814	1	32	0
815	0	39	0
816	0	41	0
817	1	34	0
818	0	23	0
819	1	30	0.25
820	0	32	0
821	1	42	0
822	0	41	0
823	1	31	0
824	0	43	0
825	1	33	0
826	0	46	0
827	1	24	0
828	1	45	0
829	1	36	0
830	1	35	0
831	1	39	0
832	1	25	0
833	0	39	0.25
834	1	31	0
835	0	23	0.25
836	0	34	0
837	1	43	0
838	0	42	0
839	0	29	0
840	0	23	0.25
841	0	36	0
842	0	24	0
843	0	47	0
844	1	37	0.25
845	0	27	0
846	0	24	0
847	1	34	0
848	1	35	0
849	0	27	0
850	0	41	0
851	1	29	0
852	0	49	0
853	0	31	0
854	0	49	0
855	1	38	0
856	1	30	0
857	0	44	0
858	0	31	0
859	0	25	0
860	0	45	0
861	0	49	1
862	0	44	0
863	0	33	0.25
864	0	39	0
865	1	34	0
866	1	29	0
867	1	21	0
868	1	20	0
869	0	39	0
870	0	41	0
871	0	33	0
872	1	33	0
873	0	42	0
874	1	25	0
875	1	35	0
876	0	43	0
877	1	46	0
878	1	33	0
879	1	50	0
880	1	25	0
881	0	23	0
882	0	40	0
883	0	46	0.25
884	1	29	0
885	0	40	0
886	1	22	0
887	1	47	0
888	0	43	0
889	1	24	0
890	0	42	0
891	0	37	0
892	0	41	0
893	0	38	0
894	0	44	1
895	0	23	0
896	1	31	0
897	0	29	0
898	1	32	0
899	0	33	1
900	1	37	0
901	0	24	0.25
902	0	33	0.25
903	0	45	0
904	1	42	0
905	1	27	0
906	1	27	0
907	0	27	0
908	0	43	0
909	1	39	0
910	1	20	0
911	0	22	0
912	0	26	0
913	0	42	0.25
914	0	37	0
915	0	47	0
916	1	39	0
917	0	28	0
918	0	40	0
919	1	45	0
920	0	31	0
921	1	43	0
922	0	23	0
923	0	42	0
924	0	37	0
925	1	35	0
926	1	36	0
927	0	43	0
928	1	28	0
929	0	44	0.25
930	1	23	0
931	1	29	0
932	0	44	0
933	1	47	0
934	1	20	0
935	1	26	0
936	1	27	0.25
937	0	31	0
938	0	31	1
939	0	50	0
940	0	24	0
941	0	42	0
942	0	42	0
943	0	43	0
944	0	40	0
945	1	47	1
946	0	30	0
947	1	35	0
948	0	21	0
949	1	32	0
950	1	37	0
951	1	39	0
952	1	45	0
953	1	46	0
954	1	35	0
955	1	40	0
956	1	30	0
957	0	38	0
958	0	26	0
959	1	31	0
960	0	48	0
961	0	31	0
962	0	26	0.25
963	0	33	0
964	0	42	0
965	1	43	0
966	0	41	0
967	1	31	0
968	1	45	0
969	1	42	0
970	1	50	0
971	0	50	0.25
972	0	40	0
973	0	20	0
974	0	42	0
975	0	27	0
976	0	28	0
977	0	33	0
978	1	25	0
979	1	24	0
980	0	37	0
981	1	43	0
982	1	23	0
983	0	30	0
984	1	40	0
985	0	48	0
986	0	45	0
987	0	29	0
988	1	27	0
989	1	42	0
990	1	48	0
991	1	27	0
992	0	47	0
993	1	21	0
994	0	43	0
995	1	43	0
996	1	34	0
997	0	47	0
998	1	29	0
999	0	39	1
1000	0	48	0
